Temparature,Humidity,Nitrogen,Potassium,Phosphorous,Crop,Fertilizer
26,52,37,0,0,Maize,Urea
29,52,12,0,36,Sugarcane,DAP
34,65,7,9,30,Cotton,14-35-14
32,62,22,0,20,Tobacco,28-28
28,54,35,0,0,Paddy,Urea
26,52,12,10,13,Barley,17-17-17
25,50,9,0,10,Cotton,20-20
33,64,41,0,0,Wheat,Urea
30,60,21,0,18,Millets,28-28
29,58,9,7,30,Oil seeds,14-35-14
27,54,13,0,40,Pulses,DAP
31,62,14,15,12,Maize,17-17-17
25,50,36,0,0,Cotton,Urea
32,62,24,0,22,Paddy,28-28
26,52,14,0,41,Ground Nuts,DAP
31,62,10,13,14,Sugarcane,17-17-17
33,64,38,0,0,Pulses,Urea
25,50,21,0,19,Barley,28-28
28,54,39,0,0,Cotton,Urea
29,58,13,0,36,Wheat,DAP
30,60,10,0,9,Millets,20-20
34,65,12,14,12,Sugarcane,17-17-17
35,68,11,0,37,Tobacco,DAP
28,54,36,0,0,Millets,Urea
33,64,13,0,10,Paddy,20-20
26,52,23,0,20,Maize,28-28
30,60,9,9,29,Cotton,14-35-14
32,62,38,0,0,Sugarcane,Urea
37,70,12,0,39,Oil seeds,DAP
26,52,14,0,13,Pulses,20-20
29,58,24,0,23,Ground Nuts,28-28
30,60,12,0,40,Sugarcane,DAP
34,65,39,0,0,Paddy,Urea
36,68,7,9,30,Barley,14-35-14
26,52,23,0,19,Wheat,28-28
28,54,41,0,0,Millets,Urea
30,60,8,10,31,Cotton,14-35-14
37,70,12,0,41,Paddy,DAP
25,50,15,14,11,Ground Nuts,17-17-17
29,58,15,0,37,Millets,DAP
27,54,13,0,13,Pulses,20-20
30,60,10,7,32,Sugarcane,14-35-14
32,62,22,0,24,Tobacco,28-28
34,65,35,0,0,Sugarcane,Urea
35,67,10,0,35,Barley,DAP
38,70,8,8,28,Wheat,14-35-14
26,52,12,0,8,Oil seeds,20-20
29,58,24,0,18,Paddy,28-28
30,60,41,0,0,Ground Nuts,Urea
33,64,5,9,29,Maize,14-35-14
34,65,23,0,21,Tobacco,28-28
36,68,13,0,14,Oil seeds,20-20
28,54,40,0,0,Pulses,Urea
30,60,12,0,42,Barley,DAP
31,62,11,12,15,Cotton,17-17-17
27,53,23,0,24,Millets,28-28
34,65,38,0,0,Wheat,Urea
29,58,8,0,15,Millets,20-20
25,50,11,13,15,Sugarcane,17-17-17
32,62,15,0,37,Ground Nuts,DAP
28,54,36,0,0,Paddy,Urea
30,60,13,0,9,Wheat,20-20
34,65,24,0,20,Cotton,28-28
28,54,5,18,15,Barley,10-26-26
27,53,37,0,0,Oil seeds,Urea
36,68,15,0,40,Cotton,DAP
34,65,9,0,13,Sugarcane,20-20
29,58,8,8,33,Sugarcane,14-35-14
25,50,6,19,16,Pulses,10-26-26
30,60,10,0,14,Millets,20-20
26,52,21,0,23,Pulses,28-28
31,62,39,0,0,Tobacco,Urea
34,65,23,0,19,Wheat,28-28
27,53,42,0,0,Oil seeds,Urea
33,64,13,0,39,Ground Nuts,DAP
29,58,9,10,22,Paddy,14-35-14
30,60,22,0,21,Maize,28-28
27,53,10,0,15,Sugarcane,20-20
26,52,7,16,20,Pulses,10-26-26
34,65,14,0,38,Cotton,DAP
28,54,10,8,29,Paddy,14-35-14
30,60,41,0,0,Millets,Urea
29,58,14,0,35,Cotton,DAP
26,52,11,0,9,Sugarcane,20-20
31,62,21,0,28,Barley,28-28
35,67,8,7,31,Pulses,14-35-14
29,58,13,17,16,Tobacco,10-26-26
27,53,35,0,0,Millets,Urea
36,68,12,18,19,Wheat,10-26-26
29,58,11,0,38,Cotton,DAP
30,60,8,9,30,Oil seeds,14-35-14
34,65,6,19,21,Paddy,10-26-26
36,68,41,0,0,Ground Nuts,Urea
28,54,9,10,30,Maize,14-35-14
25,50,24,0,19,Pulses,28-28
30,60,4,17,17,Tobacco,10-26-26
38,72,39,0,0,Wheat,Urea
36,60,15,0,41,Millets,DAP
29,58,12,0,10,Sugarcane,20-20
